danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.481,0.82,8,-3.508,1,0.031,0.00858,0.0,0.0756,0.345,139.936,audio_features,0LPx8WfsRrXCF92YtINFtN,spotify:track:0LPx8WfsRrXCF92YtINFtN,https://api.spotify.com/v1/tracks/0LPx8WfsRrXCF92YtINFtN,https://api.spotify.com/v1/audio-analysis/0LPx8WfsRrXCF92YtINFtN,243000,4
0.533,0.996,8,-4.19,1,0.165,6.44e-05,0.0116,0.195,0.1,120.0,audio_features,41yEZEDzI8Ln8Ilk2Booug,spotify:track:41yEZEDzI8Ln8Ilk2Booug,https://api.spotify.com/v1/tracks/41yEZEDzI8Ln8Ilk2Booug,https://api.spotify.com/v1/audio-analysis/41yEZEDzI8Ln8Ilk2Booug,276280,4
0.316,0.977,6,-5.439,0,0.126,8.28e-05,0.216,0.138,0.264,111.44,audio_features,7oQWvmwLH6Mpdw7XtOLmiT,spotify:track:7oQWvmwLH6Mpdw7XtOLmiT,https://api.spotify.com/v1/tracks/7oQWvmwLH6Mpdw7XtOLmiT,https://api.spotify.com/v1/audio-analysis/7oQWvmwLH6Mpdw7XtOLmiT,386200,4
0.429,0.996,5,-2.974,0,0.169,8.52e-06,0.725,0.365,0.0998,146.845,audio_features,433sVjZi13pqPYYUGsvWBV,spotify:track:433sVjZi13pqPYYUGsvWBV,https://api.spotify.com/v1/tracks/433sVjZi13pqPYYUGsvWBV,https://api.spotify.com/v1/audio-analysis/433sVjZi13pqPYYUGsvWBV,241933,4
0.551,0.99,3,-4.347,0,0.0796,3.65e-05,0.000792,0.315,0.492,124.083,audio_features,1WVtCdwk72qhzYlDgX8I9h,spotify:track:1WVtCdwk72qhzYlDgX8I9h,https://api.spotify.com/v1/tracks/1WVtCdwk72qhzYlDgX8I9h,https://api.spotify.com/v1/audio-analysis/1WVtCdwk72qhzYlDgX8I9h,206893,4
0.492,0.948,0,-3.549,1,0.0525,0.00118,0.00641,0.295,0.523,90.569,audio_features,4HIKcEKSijQLW5YNLsdLzt,spotify:track:4HIKcEKSijQLW5YNLsdLzt,https://api.spotify.com/v1/tracks/4HIKcEKSijQLW5YNLsdLzt,https://api.spotify.com/v1/audio-analysis/4HIKcEKSijQLW5YNLsdLzt,118160,4
0.435,0.986,7,-3.458,1,0.182,8.34e-05,0.000924,0.572,0.434,125.822,audio_features,1hrDDgkVbbS5bySL8uHLh3,spotify:track:1hrDDgkVbbS5bySL8uHLh3,https://api.spotify.com/v1/tracks/1hrDDgkVbbS5bySL8uHLh3,https://api.spotify.com/v1/audio-analysis/1hrDDgkVbbS5bySL8uHLh3,157827,4
0.526,0.442,11,-13.474,0,0.0319,0.0175,0.775,0.0656,0.546,113.563,audio_features,6HupgyfNTCOoZsbXLUNKCV,spotify:track:6HupgyfNTCOoZsbXLUNKCV,https://api.spotify.com/v1/tracks/6HupgyfNTCOoZsbXLUNKCV,https://api.spotify.com/v1/audio-analysis/6HupgyfNTCOoZsbXLUNKCV,176707,4
0.449,0.775,7,-12.029,1,0.0405,0.162,0.149,0.248,0.313,94.907,audio_features,5qm0KiVKMXW1kq6VrnIhz5,spotify:track:5qm0KiVKMXW1kq6VrnIhz5,https://api.spotify.com/v1/tracks/5qm0KiVKMXW1kq6VrnIhz5,https://api.spotify.com/v1/audio-analysis/5qm0KiVKMXW1kq6VrnIhz5,249768,4
0.531,0.256,4,-16.083,0,0.0277,0.957,0.903,0.102,0.0386,95.187,audio_features,5l1jbVH8NqW2MIqQMyULLW,spotify:track:5l1jbVH8NqW2MIqQMyULLW,https://api.spotify.com/v1/tracks/5l1jbVH8NqW2MIqQMyULLW,https://api.spotify.com/v1/audio-analysis/5l1jbVH8NqW2MIqQMyULLW,306480,4
0.304,0.606,9,-5.442,0,0.0298,0.798,0.797,0.934,0.171,79.156,audio_features,34TqYTR1HDpkSEUPzKBxZp,spotify:track:34TqYTR1HDpkSEUPzKBxZp,https://api.spotify.com/v1/tracks/34TqYTR1HDpkSEUPzKBxZp,https://api.spotify.com/v1/audio-analysis/34TqYTR1HDpkSEUPzKBxZp,363627,4
0.519,0.8,5,-7.505,1,0.135,0.00581,0.0952,0.379,0.854,109.073,audio_features,2OdhuqhlfGQf3kNaRcTyYz,spotify:track:2OdhuqhlfGQf3kNaRcTyYz,https://api.spotify.com/v1/tracks/2OdhuqhlfGQf3kNaRcTyYz,https://api.spotify.com/v1/audio-analysis/2OdhuqhlfGQf3kNaRcTyYz,117747,4
0.496,0.966,9,-3.769,1,0.0749,0.00581,0.0,0.424,0.405,93.766,audio_features,7wDsdm5pjOCEVnbN7LRday,spotify:track:7wDsdm5pjOCEVnbN7LRday,https://api.spotify.com/v1/tracks/7wDsdm5pjOCEVnbN7LRday,https://api.spotify.com/v1/audio-analysis/7wDsdm5pjOCEVnbN7LRday,206013,4
0.371,0.609,11,-5.524,1,0.0295,0.386,0.0,0.104,0.426,136.526,audio_features,5K7AMlpc4796JRWXb26nCV,spotify:track:5K7AMlpc4796JRWXb26nCV,https://api.spotify.com/v1/tracks/5K7AMlpc4796JRWXb26nCV,https://api.spotify.com/v1/audio-analysis/5K7AMlpc4796JRWXb26nCV,266533,3
0.481,0.71,7,-4.785,1,0.0298,0.183,0.0,0.147,0.188,140.062,audio_features,4VqkhvOP0FkcVrDxgJXtxM,spotify:track:4VqkhvOP0FkcVrDxgJXtxM,https://api.spotify.com/v1/tracks/4VqkhvOP0FkcVrDxgJXtxM,https://api.spotify.com/v1/audio-analysis/4VqkhvOP0FkcVrDxgJXtxM,218387,4
0.168,0.98,9,-7.868,1,0.107,1.97e-06,0.436,0.117,0.0612,103.031,audio_features,4GkMrAsgfXaKANVWcqJPsn,spotify:track:4GkMrAsgfXaKANVWcqJPsn,https://api.spotify.com/v1/tracks/4GkMrAsgfXaKANVWcqJPsn,https://api.spotify.com/v1/audio-analysis/4GkMrAsgfXaKANVWcqJPsn,214093,4
0.209,0.956,5,-7.725,0,0.16,2.09e-06,0.824,0.201,0.125,120.679,audio_features,375aDMmyiBdTWiMTmV3SO3,spotify:track:375aDMmyiBdTWiMTmV3SO3,https://api.spotify.com/v1/tracks/375aDMmyiBdTWiMTmV3SO3,https://api.spotify.com/v1/audio-analysis/375aDMmyiBdTWiMTmV3SO3,295720,4
0.313,0.864,7,-8.77,1,0.0737,1.33e-05,0.84,0.103,0.118,126.23,audio_features,6ViutGeLi9w3Czoq2JUIF7,spotify:track:6ViutGeLi9w3Czoq2JUIF7,https://api.spotify.com/v1/tracks/6ViutGeLi9w3Czoq2JUIF7,https://api.spotify.com/v1/audio-analysis/6ViutGeLi9w3Czoq2JUIF7,486333,4
0.254,0.999,4,-9.069,1,0.0825,0.0863,0.0754,0.235,0.0306,116.655,audio_features,4aslCoKnWXEfQ6vMnPCxKJ,spotify:track:4aslCoKnWXEfQ6vMnPCxKJ,https://api.spotify.com/v1/tracks/4aslCoKnWXEfQ6vMnPCxKJ,https://api.spotify.com/v1/audio-analysis/4aslCoKnWXEfQ6vMnPCxKJ,217360,4
0.392,0.789,11,-6.911,0,0.0375,6.48e-06,0.73,0.235,0.155,98.923,audio_features,0Cdp9QsQP2gxZ7pYmPfXzy,spotify:track:0Cdp9QsQP2gxZ7pYmPfXzy,https://api.spotify.com/v1/tracks/0Cdp9QsQP2gxZ7pYmPfXzy,https://api.spotify.com/v1/audio-analysis/0Cdp9QsQP2gxZ7pYmPfXzy,266800,4
0.243,0.939,6,-3.831,0,0.162,0.00318,0.000408,0.0983,0.131,172.232,audio_features,48cflKh8744H5azTEGO6zV,spotify:track:48cflKh8744H5azTEGO6zV,https://api.spotify.com/v1/tracks/48cflKh8744H5azTEGO6zV,https://api.spotify.com/v1/audio-analysis/48cflKh8744H5azTEGO6zV,315947,4
0.463,0.844,2,-6.307,1,0.0272,0.000119,0.591,0.78,0.374,99.01,audio_features,0Uy1ZdhEBV7RwgmTDflNT3,spotify:track:0Uy1ZdhEBV7RwgmTDflNT3,https://api.spotify.com/v1/tracks/0Uy1ZdhEBV7RwgmTDflNT3,https://api.spotify.com/v1/audio-analysis/0Uy1ZdhEBV7RwgmTDflNT3,198893,4
0.453,0.85,3,-3.816,1,0.0416,0.000591,0.0323,0.0747,0.147,87.475,audio_features,3p91apleDH2JhTjyzab2qy,spotify:track:3p91apleDH2JhTjyzab2qy,https://api.spotify.com/v1/tracks/3p91apleDH2JhTjyzab2qy,https://api.spotify.com/v1/audio-analysis/3p91apleDH2JhTjyzab2qy,349400,4
